n,p
6.789053488740509,-1.6533796155723985
8.997446025372879,-2.020228614088746
4.6263392970691095,-1.4834561848695633
5.555349811889818,-1.4542164933677615
7.935098199831006,-2.0696924981139317
5.433350662630645,-1.5927162616139947
6.949739149164763,-2.115107295363975
5.823376578219881,-1.5406132053897845
7.693403239491901,-1.9050936938942509
7.565684368055957,-1.6328832219802638
6.1378101483093195,-1.5837138790408924
5.819801330215612,-1.8620778475372213
7.445197193915777,-1.8305634620316464
4.626929604214687,-1.1484956043301224
6.879831425615984,-1.7377223980520966
7.538935533374733,-1.9266227852197466
6.414349352528232,-1.5780165334956162
7.97228429844362,-1.8099082265507769
4.1622407703379105,-1.1433275092717627
7.546391272123042,-1.7969801616286158
5.689971455889857,-1.5305157906406448
5.736942387644206,-1.508620258262781
5.633987882236857,-1.5710209136365445
8.172303733819207,-1.97790597346334
8.009917952361976,-2.06944733249132
7.774953297031653,-1.886380240304818
7.863022707296632,-1.9806802532659284
6.80660033562954,-1.707348009549832
5.41196652522599,-1.5340429183206072
7.8394804670678315,-1.9751804109455495
7.588426338774432,-1.6467508740001813
8.784798406477854,-2.0635543146395356
7.5785003328738245,-1.7013361883871543
6.776934533875955,-1.819672185431551
7.615709052895075,-1.9735928816003923
8.06540888936879,-1.965186830740218
7.540534987512609,-1.7649661510305807
5.525108734561918,-1.4266230022254764
5.613238966112524,-1.4515488256915037
6.273441762529244,-1.5216981315845834
6.044323203194487,-1.4896302460460498
8.322042161364061,-1.9312010988172
5.313165717624951,-1.4974232042552715
6.680633224761729,-1.638423763144469
6.940459456606496,-1.7156864641596423
8.50492192459412,-1.9306742540669175
6.557654226391003,-1.6168607872637173
8.735670852571408,-2.4150916979000536
6.219452064466719,-1.6533776936599913
5.342053354863514,-1.3850371317311585
6.736960885696353,-1.9107356506423163
7.361925795534966,-2.0490789756120966
3.962291651170352,-1.0147552081882696
6.9367262982061275,-1.7179368014195011
6.743504425774788,-1.6854591651595168
5.022531221630665,-1.3340238844383452
6.20779030670878,-1.6116527491637134
9.66598396605161,-2.090397949695686
7.480600618674594,-1.8963377882032142
4.8915129295861695,-1.4855017512018498
7.980420143612466,-2.099338854957324
8.958173682635083,-2.0062323584807507
4.980304115859385,-1.587039534082898
8.306441392411902,-2.224323109467823
5.212910564065002,-1.5444772149681325
5.920612981599413,-1.6506758905289174
7.594278318733874,-1.822017871418643
7.641222762455118,-2.0808932201132455
7.727135861907686,-2.049765550459431
8.363712828273016,-2.1821666662183716
8.658311872225532,-2.279812766043508
6.202660396632208,-1.3790311355966514
10.057442772754536,-2.2889832153486656
6.753613627024856,-1.8576020613326405
8.216290696207858,-1.8380777353971212
6.995514342056164,-1.6879889950711897
6.091520472632932,-1.5961637913806512
6.726737476385793,-1.578885184880707
9.146491315333364,-2.1028763412568456
6.4474103202379,-1.6725922613484805
8.898173805674654,-2.2753264362270977
6.660487897316902,-1.6384765508668462
9.419472345069218,-1.9895515179821759
8.471235915342431,-1.8121524834446276
7.77924594357863,-1.9014909254612942
7.314237604582306,-1.8330643252726555
6.724686562735031,-2.0247537319695472
4.878463411877307,-1.1165793608574826
7.85999312781707,-1.9749580689765651
6.098894803530307,-1.886444082462059
5.849517755218198,-1.6652617414124562
6.784298258567352,-1.689130788109357
8.391048918211613,-1.9966213510277906
5.519457349226564,-1.615913224206518
7.825119349588985,-1.751440061266497
7.807090316984718,-1.8883646797843288
7.534683121926045,-1.838878600369378
6.40125452146059,-1.6063305093778846
5.839442549147121,-1.6651699816020042
7.579082805077857,-1.9095553771676732
4.791777340836626,-1.460811153215232
7.932822299894446,-2.09452713558138
7.177857350926824,-1.8429386251726614
5.552256651249951,-1.5063811238463494
7.278301437261645,-1.5515430299744348
6.841933239182025,-1.7872064371001906
4.342892882175651,-1.234746888089605
7.40854951570114,-1.700270898256575
7.033278255526594,-1.71404884033822
7.242126049647486,-1.7308314957910966
8.721276086916625,-2.248261990292353
7.827567229432556,-1.9502633625230423
7.6332913348174785,-1.9395214095171591
5.641872951644174,-1.5704429016874855
7.002761826346992,-1.7616443604068859
6.707113647458196,-1.6646934198162908
5.9546127945013945,-1.4948124613522615
6.753112039027459,-1.8196722469245767
8.332219141092292,-2.103122034521198
6.3135137244436565,-1.6165149018508487
7.727737869443716,-1.8039418191952243
6.290462537250748,-1.4916392138170311
6.363273470653242,-1.4573084888239627
7.333860392302085,-1.9342121662291327
5.9760385110500085,-1.4950463079693344
